EHA_PtID,PtName,County,State,Lat,Lon,Pt_Own,OwType,Dam_Own,Type,EIA_PtID,FC_Dock,FcIssue,FcExpire,Mode,Pm_Type,Number_of_Units,CH_MW,CH_MWh,CH_Pf,CH_OpYear,PS_MW,PS_MWh,PS_Pf,PS_OpYear,Water,HUC,NID_ID,ReEDSPCA,NERC,BACode,Sector,Trans
hc0008_p01,Canyon Ferry,Lewis and Clark,MT,46.64903,-111.728,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,6400,,,,Run-of-river,Reclamation,3,49.8,323917.7,74.2508,1953,,,,,Missouri River,1003010112,MT00568,18,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
hc0009_p01,Chandler,Benton,WA,46.26678,-119.59,Reclamation Pacific Northwest Region (PN),Reclamation,Reclamation Pacific Northwest Region (PN),HY,6406,,,,Intermediate Peaking,Reclamation,2,12,47000.24,44.71104,1956,,,,,Yakima River,1703000312,WA01378,2,WECC,BPAT,Electric Utility,Bonneville Power Administration
hc0010_p01,Crystal,Montrose,CO,38.51057,-107.625,Reclamation Upper Colorado Region (UC),Reclamation,Reclamation Upper Colorado Region (UC),HY,6159,,,,Run-of-river,Reclamation,1,28,141485.8,57.68337,1978,,,,,Crystal Reservoir-Gunnison Riv,1402000211,CO00387,34,WECC,WACM,Electric Utility,WAPA-- Western Area Power Administration
hc0011_p01,Davis,Mohave,AZ,35.19704,-114.571,Reclamation Lower Colorado Region (LC),Reclamation,Reclamation Lower Colorado Region (LC),HY,152,,,,Intermediate Peaking,Reclamation,5,254.8,1126405,50.46511,1951,,,,,Colorado River,1503010103,AZ10309,27,WECC,WALC,Electric Utility,WAPA-- Western Area Power Administration
hc0012_p01,Deer Creek,Wasatch,UT,40.40435,-111.528,Reclamation Upper Colorado Region (UC),Reclamation,Reclamation Upper Colorado Region (UC),HY,6404,,,,Intermediate Peaking,Reclamation Transferred,2,4.8,22547.65,53.6236,1958,,,,,Deer Creek Reservoir,1602020304,UT10117,26,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
hc0013_p01,Elephant Butte,Sierra,NM,33.15336,-107.192,Reclamation Upper Colorado Region (UC),Reclamation,Reclamation Upper Colorado Region (UC),HY,6402,,,,Run-of-river,Reclamation,3,27.9,41525.24,16.99041,1940,,,,,Rio Grande,1303010102,NM00129,31,WECC,WACM,Electric Utility,WAPA-- Western Area Power Administration
hc0014_p01,Flaming Gorge,Daggett,UT,40.91465,-109.422,Reclamation Upper Colorado Region (UC),Reclamation,Reclamation Upper Colorado Region (UC),HY,6405,,,,Intermediate Peaking,Reclamation,3,151.8,427971.1,32.18389,1963,,,,,Flaming Gorge Reservoir-Green,1404010605,UT10121,26,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
hc0015_p01,Flatiron,Larimer,CO,40.365,-105.236,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY/PS,518,,,,Intermediate Peaking,Reclamation,3,86,187877.8,24.93865,1954,8.5,35286.83,47.39032,1954,Colorado River,1019000606,CO01663,33,WECC,WACM,Electric Utility,WAPA-- Western Area Power Administration
hc0016_p01,Folsom,Sacramento,CA,38.70675,-121.158,Reclamation Mid Pacific Region (MP),Reclamation,Reclamation Mid Pacific Region (MP),HY,441,,,,Intermediate Peaking,Reclamation,3,198.6,516965.1,29.71515,1955,,,,,American River,1802011102,CA10148,9,WECC,WALC,Electric Utility,WAPA-- Western Area Power Administration
hc0017_p01,Fontenelle,Lincoln,WY,42.02701,-110.064,Reclamation Upper Colorado Region (UC),Reclamation,Reclamation Upper Colorado Region (UC),HY,4185,,,,Run-of-river,Reclamation,1,10,50392.18,57.52532,1968,,,,,Fontenelle Reservoir-Green Riv,1404010301,WY01389,21,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
hc0018_p01,Fremont Canyon,Natrona,WY,42.46826,-106.852,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,4176,,,,Intermediate Peaking,Reclamation,2,66.8,191243.7,32.68185,1960,,,,,North Platte River,1018000701,WY01296,24,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
hc0019_p01,Glen Canyon,Coconino,AZ,36.93661,-111.484,Reclamation Upper Colorado Region (UC),Reclamation,Reclamation Upper Colorado Region (UC),HY,153,,,,Intermediate Peaking,Reclamation,8,1312,3775904,32.8536,1964,,,,,Lake Powell - Colorado River,1407000611,AZ10307,28,WECC,WALC,Electric Utility,WAPA-- Western Area Power Administration
hc0020_p01,Glendo,Platte,WY,42.46725,-104.956,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,4177,,,,Intermediate Peaking,Reclamation,2,38,74816.82,22.47561,1958,,,,,North Platte River,1018000808,WY01291,24,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
hc0021_p01,Grand Coulee,Grant,WA,47.95751,-118.977,Reclamation Pacific Northwest Region (PN),Reclamation,Reclamation Pacific Northwest Region (PN),HY/PS,6163,,,,Intermediate Peaking,Reclamation,33,6495,19794302,34.7902,1941,314,1254156,45.59505,1973,Columbia River,1702000502,WA00262,3,WECC,BPAT,Electric Utility,Bonneville Power Administration
hc0022_p01,Green Mountain,Summit,CO,39.87881,-106.333,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,516,,,,Intermediate Peaking,Reclamation,2,26,49020.82,21.52302,1943,,,,,Blue River,1401000206,CO01658,33,WECC,WACM,Electric Utility,WAPA-- Western Area Power Administration
hc0023_p01,Green Springs,Jackson,OR,42.12117,-122.548,Reclamation Pacific Northwest Region (PN),Reclamation,Reclamation Pacific Northwest Region (PN),HY,6403,,,,Intermediate Peaking,Reclamation,1,17.2,59015.76,39.16837,1960,,,,,Trans-Mountain Diversion,1710030801,OR00031,6,WECC,BPAT,Electric Utility,Bonneville Power Administration
hc0024_p01,Guernsey,Platte,WY,42.28987,-104.761,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,4178,,,,Intermediate Peaking,Reclamation,2,6.4,14848.88,26.48559,1927,,,,,North Platte River,1018000808,WY01293,24,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
hc0025_p01,Hoover Dam (NV),Clark,NV,36.01551,-114.738,Reclamation Lower Colorado Region (LC),Reclamation,Reclamation Lower Colorado Region (LC),HY,154,,,,Intermediate Peaking,Reclamation,9,1039.4,2022888,22.21698,1936,,,,,Lake Mead  - Colorado River,1503010101,NV10122,27,WECC,WALC,Electric Utility,WAPA-- Western Area Power Administration
hc0025_p02,Hoover Dam (AZ),Mohave,AZ,36.01551,-114.738,Reclamation Lower Colorado Region (LC),Reclamation,Reclamation Lower Colorado Region (LC),HY,8902,,,,Intermediate Peaking,Reclamation,10,1039.4,1747113,19.1882,1936,,,,,Lake Mead Colorado River,1503010101,NV10122,27,WECC,WALC,Electric Utility,WAPA-- Western Area Power Administration
hc0026_p01,Hungry Horse,Flathead,MT,48.34152,-114.014,Reclamation Pacific Northwest Region (PN),Reclamation,Reclamation Pacific Northwest Region (PN),HY,2203,,,,Peaking,Reclamation,4,428,961923.4,25.65622,1952,,,,,South Fork Flathead River,1701020907,MT00565,17,WECC,BPAT,Electric Utility,Bonneville Power Administration
hc0027_p01,Judge F Carr,Shasta,CA,40.64693,-122.627,Reclamation Mid Pacific Region (MP),Reclamation,Reclamation Mid Pacific Region (MP),HY,442,,,,Peaking,Reclamation,2,154.4,322042.4,23.81012,1963,,,,,Trinity River,1802015401,CA10165,9,WECC,WALC,Electric Utility,WAPA-- Western Area Power Administration
hc0027_p02,Lewiston,Trinity,CA,40.72587,-122.794,Trinity Power Authority,Reclamation,Reclamation Mid Pacific Region (MP),HY,977,,,,Run-of-river,Reclamation,1,0.35,2368,77.23418,1964,,,,,Trinity River,1801021107,CA10165,9,WECC,,,
hc0028_p01,Keswick,Shasta,CA,40.61186,-122.446,Reclamation Mid Pacific Region (MP),Reclamation,Reclamation Mid Pacific Region (MP),HY,443,,,,Intermediate Peaking,Reclamation,3,117,391024.8,38.15174,1949,,,,,Sacramento River,1802015403,CA10160,9,WECC,WALC,Electric Utility,WAPA-- Western Area Power Administration
hc0029_p01,Kortes,Carbon,WY,42.1743,-106.881,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,4180,,,,Intermediate Peaking,Reclamation,3,36,121935.4,38.66545,1950,,,,,North Platte River,1018000303,WY01294,24,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
hc0030_p01,Upper Molina,Mesa,CO,39.14381,-108.005,Reclamation Upper Colorado Region (UC),Reclamation,Reclamation Upper Colorado Region (UC),HY,521,,,,Intermediate Peaking,Reclamation,1,9.9,24183,27.88501,1962,,,,,Bonham Reservoir,1401000513,CO01677,33,WECC,WACM,Electric Utility,WAPA-- Western Area Power Administration
hc0030_p02,Lower Molina,Mesa,CO,39.19366,-108.044,Reclamation Upper Colorado Region (UC),Reclamation,Reclamation Upper Colorado Region (UC),HY,520,,,,Intermediate Peaking,Reclamation,1,5.6,13708.06,27.9437,1962,,,,,Bonham Reservoir,1401000513,CO01677,33,WECC,WACM,Electric Utility,WAPA-- Western Area Power Administration
hc0031_p01,Estes,Larimer,CO,40.37677,-105.51,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,513,,,,Intermediate Peaking,Reclamation,3,45,102108.3,25.90266,1950,,,,,Colorado River,1019000602,CO01662,33,WECC,WACM,Electric Utility,WAPA-- Western Area Power Administration
hc0032_p01,McPhee,Montezuma,CO,37.57522,-108.574,Dolores Water Conservancy District,Reclamation,Reclamation Upper Colorado Region (UC),HY,7372,,,,Peaking,Reclamation Transferred,1,1.2,3642.59,34.65173,1992,,,,,McPhee Reservoir-Dolores River,1403000206,CO02707,34,WECC,WACM,Electric Utility,WAPA-- Western Area Power Administration
hc0032_p02,Towaoc,Montezuma,CO,37.42954,-108.575,Dolores Water Conservancy District,Reclamation,Reclamation Upper Colorado Region (UC),HY,7373,,,,Run-of-river,Reclamation Transferred,1,11.4,13678.65,13.69728,1993,,,,,McPhee Reservoir-Dolores River,1408020201,CO02707,34,WECC,WACM,Electric Utility,WAPA-- Western Area Power Administration
hc0033_p01,Minidoka,Minidoka,ID,42.6699,-113.483,Reclamation Pacific Northwest Region (PN),Reclamation,Reclamation Pacific Northwest Region (PN),HY,6398,,,,Intermediate Peaking,Reclamation,4,27.7,98689.76,40.67132,1927,,,,,Snake River,1704020913,ID00275,15,WECC,BPAT,Electric Utility,Bonneville Power Administration
hc0034_p01,Morrow Point,Montrose,CO,38.45175,-107.539,Reclamation Upper Colorado Region (UC),Reclamation,Reclamation Upper Colorado Region (UC),HY,514,,,,Peaking,Reclamation,2,173.2,298421.5,19.66881,1970,,,,,Morrow Point Reservoir-Gunniso,1402000210,CO01689,34,WECC,WACM,Electric Utility,WAPA-- Western Area Power Administration
hc0035_p01,Mount Elbert,Lake,CO,39.0942,-106.352,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),PS,6208,,,,Peaking,Reclamation,2,,,,,200,293866.5,16.7732,1981,Fryingpan River,1102000101,CO00446,33,WECC,WACM,Electric Utility,WAPA-- Western Area Power Administration
hc0036_p01,New Melones,Tuolumne,CA,37.94693,-120.528,Reclamation Mid Pacific Region (MP),Reclamation,Reclamation Mid Pacific Region (MP),HY,6158,,,,Peaking,Reclamation,2,300,425841.8,16.20403,1979,,,,,Stanislaus River,1804001006,CA10246,9,WECC,WALC,Electric Utility,WAPA-- Western Area Power Administration
hc0037_p01,Nimbus,Sacramento,CA,38.63735,-121.22,Reclamation Mid Pacific Region (MP),Reclamation,Reclamation Mid Pacific Region (MP),HY,444,,,,Run-of-river,Reclamation,2,13.4,54573.94,46.4918,1955,,,,,American River,1802011102,CA10174,9,WECC,WALC,Electric Utility,WAPA-- Western Area Power Administration
hc0038_p01,ONeill,Merced,CA,37.09867,-121.048,San Luis-Delta Mendota Water Authority,Reclamation,U S Bureau of Reclamation,PS,446,,,,Peaking,Reclamation Transferred,6,,,,,25.2,49037.94,22.21404,1967,O'Neill Forebay - San Luis Cre,1804000112,CA10171,9,WECC,WALC,Electric Utility,WAPA-- Western Area Power Administration
hc0039_p01,Palisades,Bonneville,ID,43.33485,-111.206,Reclamation Pacific Northwest Region (PN),Reclamation,Reclamation Pacific Northwest Region (PN),HY,850,,,,Intermediate Peaking,Reclamation,4,176.4,578222.8,37.41903,1957,,,,,Snake River,1704010406,ID00273,16,WECC,BPAT,Electric Utility,Bonneville Power Administration
hc0040_p01,Parker,San Bernardino,CA,34.29533,-114.14,Reclamation Lower Colorado Region (LC),Reclamation,Reclamation Lower Colorado Region (LC),HY,447,,,,Intermediate Peaking,Reclamation,4,120,444049.3,42.24213,1942,,,,,Colorado River,1503010401,AZ10312,10,WECC,WALC,Electric Utility,WAPA-- Western Area Power Administration
hc0041_p01,Pilot Butte,Fremont,WY,43.21902,-108.788,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,674,,,,Run-of-river,Reclamation,2,1.6,4912.44,35.0488,1925,,,,,Wyoming Canal - Wind River,1008000502,WY01381,21,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
hc0042_p01,Pole Hill,Larimer,CO,40.36506,-105.325,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,519,,,,Run-of-river,Reclamation,1,38.2,172047.7,51.41399,1954,,,,,Colorado River,1019000604,CO82917,33,WECC,WACM,Electric Utility,WAPA-- Western Area Power Administration
hc0043_p01,Roza,Yakima,WA,46.74906,-120.467,Reclamation Pacific Northwest Region (PN),Reclamation,Reclamation Pacific Northwest Region (PN),HY,6407,,,,Intermediate Peaking,Reclamation,1,12.9,64026.76,56.65884,1958,,,,,Yakima River,1703000107,WA00275,1,WECC,BPAT,Electric Utility,Bonneville Power Administration
hc0044_p01,W R Gianelli,Merced,CA,37.06917,-121.077,California Department of Water Resources,Reclamation,U S Bureau of Reclamation,PS,448,,,,Run-of-river,Reclamation Transferred,8,,,,,424,234692.1,6.318712,1967,Wtr Fr Penstocks San Luis Res,1804000112,CA10183,9,WECC,CISO,Electric Utility,Pacific Gas & Electric Co
hc0045_p01,Seminoe,Carbon,WY,42.15613,-106.908,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,4182,,,,Intermediate Peaking,Reclamation,3,51.6,114535.5,25.33881,1939,,,,,North Platte Medicine Bow Rive,1018000303,WY01297,24,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
hc0046_p01,Shasta,Shasta,CA,40.71745,-122.422,Reclamation Mid Pacific Region (MP),Reclamation,Reclamation Mid Pacific Region (MP),HY,445,,,,Peaking,Reclamation,7,714,1875124,29.97973,1944,,,,,Sacramento River,1802015403,CA10186,9,WECC,WALC,Electric Utility,WAPA-- Western Area Power Administration
hc0047_p01,Spring Creek,Shasta,CA,40.62811,-122.468,Reclamation Mid Pacific Region (MP),Reclamation,Reclamation Mid Pacific Region (MP),HY,450,,,,Peaking,Reclamation,2,180,359974.9,22.82946,1964,,,,,Whiskey Town Reservoir-Clear C,1802015403,CA10190,9,WECC,WALC,Electric Utility,WAPA-- Western Area Power Administration
hc0048_p01,Stampede,Sierra,CA,39.47045,-120.105,Reclamation Mid Pacific Region (MP),Reclamation,Reclamation Mid Pacific Region (MP),HY,7066,,,,Run-of-river/Peaking,Reclamation,2,3.6,10420,33.0416,1988,,,,,Little Truckee River,1605010201,CA10192,9,WECC,WALC,Electric Utility,WAPA-- Western Area Power Administration
hc0049_p01,Trinity,Trinity,CA,40.7973,-122.763,Reclamation Mid Pacific Region (MP),Reclamation,Reclamation Mid Pacific Region (MP),HY,451,,,,Peaking,Reclamation,,140,392237.5,31.98283,1964,,,,,Trinity River,1801021105,CA10196,9,WECC,WALC,Electric Utility,WAPA-- Western Area Power Administration
hc0050_p01,Yellowtail,Big Horn,MT,45.30741,-107.958,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,2204,,,,Peaking,Reclamation,4,268.8,693236.4,29.44069,1966,,,,,Bighorn River,1008001503,MT00576,18,WECC,WAUW,Electric Utility,WAPA-- Western Area Power Administration
hc0051_p01,Marys Lake,Larimer,CO,40.34408,-105.534,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,517,,,,Run-of-river,Reclamation,1,8.1,35293.47,49.73994,1951,,,,,Colorado River,1019000602,CO01660,33,WECC,WACM,Electric Utility,WAPA-- Western Area Power Administration
hc0052_p01,Big Thompson,Larimer,CO,40.42103,-105.224,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),HY,515,,,,Intermediate Peaking,Reclamation,1,4.5,6869,17.42516,1959,,,,,Colorado River,1019000606,CO01654,33,WECC,WACM,Electric Utility,WAPA-- Western Area Power Administration
hc0103_p01,Tieton,Yakima,WA,46.65651,-121.129,Southern California Public Power Authority,Publicly Owned Utility,U S Bureau of Reclamation,HY,57496,P-3701,33411,51648,Run-of-river,FERC License,2,13.8,52166.78,43.15298,2006,,,,,Tieton River,1703000203,WA00273,2,WECC,PACW,Electric Utility,Benton Rural Electric Assn
hc0104_p01,Drop 1,Imperial,CA,32.72552,-114.722,Imperial Irrigation District,Publicly Owned Utility,,HY,585,,,,Canal/Conduit,Reclamation Others,3,5.7,15569.18,31.18077,1984,,,,,Well & Canal Filtered,1503010701,,10,WECC,IID,Electric Utility,Imperial Irrigation District
hc0105_p01,Drop 2,Imperial,CA,32.72552,-114.722,Imperial Irrigation District,Publicly Owned Utility,,HY,385,,,,Canal/Conduit,Reclamation Others,2,10,48354.35,55.19903,1953,,,,,Canal Filtered,1503010701,,10,WECC,IID,Electric Utility,Imperial Irrigation District
hc0106_p01,Drop 3,Imperial,CA,32.72552,-114.722,Imperial Irrigation District,Publicly Owned Utility,,HY,386,,,,Canal/Conduit,Reclamation Others,2,9.2,46800.29,58.07064,1941,,,,,Well & Canal Filtered,1503010701,,10,WECC,IID,Electric Utility,Imperial Irrigation District
hc0107_p01,Drop 4,Imperial,CA,32.72552,-114.722,Imperial Irrigation District,Publicly Owned Utility,,HY,387,,,,Canal/Conduit,Reclamation Others,2,19.6,91424.47,53.24787,1941,,,,,Well & Canal Filtered,1503010701,,10,WECC,IID,Electric Utility,Imperial Irrigation District
hc0109_p01,Pilot Knob,Imperial,CA,32.73333,-115.5,Imperial Irrigation District,Publicly Owned Utility,,HY,388,,,,Canal/Conduit,Reclamation Others,2,33,23404.59,8.096233,1957,,,,,Canal Filtered,1810020407,,10,WECC,IID,Electric Utility,Imperial Irrigation District
hc0110_p01,Horse Mesa,Maricopa,AZ,33.59055,-111.344,Salt River Valley Water User's Association,Publicly Owned Utility,U S Bureau of Reclamation,HY/PS,145,,,,Peaking,Reclamation Transferred,4,29.7,36537,14.0434,1927,99.8,152693.9,17.46575,1972,Salt River,1506010601,AZ10311,28,WECC,SRP,Electric Utility,Salt River Project
hc0111_p01,Mormon Flat,Maricopa,AZ,33.55356,-111.443,Salt River Valley Water User's Association,Publicly Owned Utility,U S Bureau of Reclamation,HY/PS,148,,,,Peaking,Reclamation Transferred,2,9.2,13324.56,16.53335,1926,54.3,86636.56,18.21366,1971,Salt River,1506010601,AZ10313,28,WECC,SRP,Electric Utility,Salt River Project
hc0112_p01,Waddell,Maricopa,AZ,33.8464,-112.266,Central Arizona Water Conservation District,Publicly Owned Utility,U S Bureau of Reclamation,PS,7164,,,,,Reclamation Transferred,4,,,,,40,43974.35,12.54976,1993,Agua Fria River,1507010209,AZ82929,28,WECC,WALC,Electric Utility,Arizona Public Service Co
hc0113_p01,New Lahontan,Churchill,NV,39.4629,-119.066,Truckee-Carson Irrigation District,Publicly Owned Utility,U S Bureau of Reclamation,HY,50261,P-7828,31402,49639,,FERC License,1,4,10682.69,30.48713,1989,,,,,Lahontan Reservoir,1605020309,NV10123,12,WECC,NEVP,IPP Non-CHP,Sierra Pacific Power Co
hc0113_p02,Lahontan,CHURCHILL,NV,39.4629,-119.066,Truckee-Carson Irrigation District,Publicly Owned Utility,U S Bureau of Reclamation,HY,6521,,,,,Reclamation Transferred,3,1.8,2706.47,17.16432,1911,,,,,Lahontan Reservoir,1605020309,NV10123,12,WECC,NEVP,IPP Non-CHP,Sierra Pacific Power Co
hc0114_p01,Crosscut,Maricopa,AZ,33.43919,-111.946,Salt River Valley Water User's Association,Publicly Owned Utility,,HY,143,,,,Canal/Conduit,Reclamation Transferred,1,3,2821.753,10.73727,1939,,,,,Crosscut Canal,1506010603,,28,WECC,SRP,Electric Utility,Salt River Project
hc0115_p01,South Consolidated,Maricopa,AZ,33.46646,-111.781,Salt River Valley Water User's Association,Publicly Owned Utility,,HY,100,,,,Canal/Conduit,Reclamation Transferred,1,1.4,1117.79,9.1144,1912,,,,,South Consolidated Canal,1506010603,,28,WECC,SRP,Electric Utility,Salt River Project
hc0116_p01,Roosevelt,Maricopa,AZ,33.67136,-111.161,Salt River Valley Water User's Association,Publicly Owned Utility,U S Bureau of Reclamation,HY,149,,,,Peaking,Reclamation Transferred,1,36,69049.29,21.89539,1973,,,,,Salt River,1506010309,AZ10317,28,WECC,SRP,Electric Utility,Salt River Project
hc0117_p01,Stewart Mountain,Maricopa,AZ,33.56691,-111.535,Salt River Valley Water User's Association,Publicly Owned Utility,U S Bureau of Reclamation,HY,150,,,,Peaking,Reclamation Transferred,1,13,27768.41,24.38392,1930,,,,,Salt River,1506010601,AZ10318,28,WECC,SRP,Electric Utility,Salt River Project
hc0118_p01,Spanish Fork,Utah,UT,40.07333,-111.588,Strawberry Water User's Association,Investor-Owned Utility,,HY,3691,,,,Canal/Conduit,Reclamation Transferred,3,3.6,10362.53,32.85937,1937,,,,,Strawberry Reservoir,1602020205,UT00689,25,WECC,PACE,Electric Utility,Strawberry Water Users Assn
hc0119_p01,Payson,Utah,UT,40.01667,-111.717,Strawberry Water User's Association,Investor-Owned Utility,U S Bureau of Reclamation,HY,3692,,,,,Reclamation Transferred,1,0.4,,,1941,,,,,Payson Reservoir,1602020206,,25,WECC,,,
hc0120_p01,Causey,Weber,UT,41.29926,-111.588,Weber Basin Water Conservancy District,Publicly Owned Utility,U S Bureau of Reclamation,HY,7548,,,,,Reclamation Transferred,2,2.1,4011.53,21.80653,1998,,,,,Causey Reservoir,1602010202,UT10116,25,WECC,PACE,Electric Utility,PacifiCorp
hc0121_p01,Wanship,Summit,UT,40.78836,-111.405,Weber Basin Water Conservancy District,Publicly Owned Utility,U S Bureau of Reclamation,HY,3698,,,,,Reclamation Transferred,1,1.9,7197.71,43.24507,1958,,,,,Rockport Reservoir,1602010104,UT10131,26,WECC,PACE,Electric Utility,PacifiCorp
hc0122_p01,Gateway,Morgan,UT,41.13661,-111.831,Weber Basin Water Conservancy District,Publicly Owned Utility,U S Bureau of Reclamation,HY,3697,,,,,Reclamation Transferred,2,4,10724.71,30.60705,1958,,,,,Weber River,1602010204,,26,WECC,PACE,Electric Utility,PacifiCorp
hc0123_p01,Olmstead,Utah,UT,40.31532,-111.654,PacifiCorp,Investor-Owned Utility,U S Bureau of Reclamation,HY,3655,,,,,Reclamation Transferred,3,10.3,15124.41,16.76244,1910,,,,,Provo River,1602020305,,25,WECC,PACE,Electric Utility,PacifiCorp
hc0124_p01,East Side,Klamath,OR,42.2344,-121.8,PacifiCorp,Investor-Owned Utility,U S Bureau of Reclamation,HY,3025,P-2082,19747,38772,,FERC License,1,3.2,5056.82,18.03945,1924,,,,,Klamath River,1801020412,OR00180,6,WECC,PACW,Electric Utility,PacifiCorp
hc0124_p02,West Side,Klamath,OR,42.2336,-121.801,PacifiCorp,Investor-Owned Utility,U S Bureau of Reclamation,HY,3042,P-2082,19747,38772,,FERC License,1,0.6,2930,55.74581,1924,,,,,Klamath River,1801020412,OR00180,6,WECC,,,
